OBJECTID,Name,Population,White,Blk_AfAm,AmInd_AkNa,Asian,NatHaw_Pac,Other_Race,TwoOrMore,Hisp_Lat,Male,Female,Total_Units,Occ_Occupied,Occ_Vacant,Tenure_Owner,Tenure_Renter,Vacant_ForRent,Vacant_ForSale,Vacant_Other_All,HH_Total,HH_Family,HH_Married,HH_OtherFamily,HH_Male_NoSpouse,HH_Female_NoSpouse,HH_NonFamily,HH_NonFamilyAlone,HH_NonFamilyNotAlone,HH18_With18,HH18_FamilyWith18,HH18_NonFamilyWith18,HH18_No18,HH18_FamilyNo18,HH18_NonFamilyNo18,Age_U5,Age_5_9,Age_10_14,Age_15_17,Age_18_21,Age_22_24,Age_25_29,Age_30_34,Age_35_39,Age_40_44,Age_45_49,Age_50_54,Age_55_59,Age_60_64,Age_65_69,Age_70_74,Age_75_79,Age_80_84,Age_85up,Med_Age,Med_Age_Male,Med_Age_Female,Shape__Area,Shape__Length
257,Woodmere,1836,35,1671,16,7,0,35,72,67,854,982,856,723,133,477,246,36,18,79,723,437,173,264,70,194,286,240,46,151,149,2,572,288,284,79,97,86,26,84,53,153,111,85,101,107,120,78,134,141,108,72,53,37,44.29999924,36.59999847,46.5,7202672.92004395,11831.7690888264
258,Wyman Park,1101,890,29,0,72,0,15,95,44,556,545,573,530,43,308,222,15,8,20,530,215,169,46,19,27,315,243,72,80,79,1,450,136,314,78,53,32,8,26,38,106,124,179,100,44,32,30,51,67,41,25,17,11,36.40000153,33.70000076,38.59999847,3073352.50158691,9834.30855988555
259,Yale Heights,2527,151,2198,7,45,0,23,103,71,1128,1399,1141,1055,86,414,641,54,13,19,1055,636,200,436,75,361,419,315,104,368,362,6,687,274,413,177,154,164,41,124,104,220,210,177,194,151,166,65,174,109,86,54,19,18,36.29999924,33.59999847,37.40000153,5264130.09448242,10713.0878078955
260,Wilhelm Park,634,217,288,5,17,0,59,48,76,303,331,290,251,39,111,140,16,4,19,251,129,38,91,21,70,122,93,29,84,82,2,167,47,120,30,51,46,5,43,22,40,32,52,36,31,58,17,54,31,18,14,8,3,39.90000153,43.29999924,38.40000153,12430318.5098877,19044.4907975562
261,Downtown West,356,187,72,1,84,0,4,8,17,166,190,289,236,53,14,222,18,0,35,236,45,35,10,3,7,191,156,35,12,11,1,224,34,190,11,3,6,2,8,29,150,82,34,8,0,9,1,5,1,4,0,1,0,29.70000076,28.70000076,29.70000076,3058428.74768066,8317.72542991614
262,Belair-Edison,14680,783,13160,48,60,3,177,449,304,6498,8182,6417,5612,805,3349,2263,319,103,383,5612,3716,1189,2527,369,2158,1896,1578,318,1857,1835,22,3755,1881,1874,859,921,1109,317,803,511,887,954,1075,982,758,977,459,1110,839,576,243,174,137,38.59999847,35.09999847,41,22813166.5141602,25163.8544229064
263,Four By Four,1156,35,1068,1,7,1,7,37,27,535,621,585,441,144,192,249,61,12,71,441,312,77,235,55,180,129,97,32,175,175,0,266,137,129,85,74,83,36,49,42,89,84,72,70,47,79,31,84,56,40,29,21,12,36.29999924,32.40000153,38.5,2156701.06097412,6609.73142386187
264,Charles Village,8749,4072,1479,31,2094,9,273,791,834,4352,4397,4421,3810,611,587,3223,380,27,204,3810,760,484,276,81,195,3050,2162,888,282,273,9,3528,487,3041,173,103,96,36,2770,1155,1219,856,503,248,210,240,137,285,188,176,117,46,44,28.5,29,28.10000038,7341923.77850342,13995.0780410912
265,Old Goucher,672,186,359,3,45,1,44,34,60,346,326,404,355,49,52,303,17,0,32,355,99,55,44,19,25,256,187,69,38,38,0,317,61,256,16,9,4,5,24,34,110,72,75,34,26,33,34,42,44,33,19,14,14,41.90000153,45.5,43.09999847,1614209.98205566,5092.41541802208
266,Canton Industrial Area,108,36,3,1,2,0,43,23,61,58,50,22,21,1,13,8,0,0,1,21,13,7,6,2,4,8,3,5,9,9,0,12,4,8,13,10,15,5,2,2,16,3,7,2,8,5,4,2,4,2,1,1,2,25.70000076,25.20000076,33.29999924,66261613.008728,74032.8090497137
267,Brewers Hill,2356,1806,122,9,174,0,108,137,174,1159,1197,1487,1329,158,454,875,94,42,22,1329,446,341,105,29,76,883,552,331,140,139,1,1189,307,882,109,42,36,9,43,108,597,553,253,154,80,59,49,76,48,45,26,6,20,32,33.59999847,32,5544288.25946045,10201.8098980114
268,Stadium/Entertainment Area,110,22,81,0,5,0,0,2,0,72,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,7,8,16,10,18,14,15,11,2,0,0,0,53.09999847,52.29999924,54.79999924,7184255.17498779,18462.0760449621
269,Fells Point,4703,3318,343,20,374,3,262,383,474,2369,2334,3339,2877,462,719,2158,258,39,165,2877,830,632,198,83,115,2047,1556,491,253,252,1,2624,578,2046,178,74,65,19,84,345,975,831,474,261,245,237,132,191,178,151,64,42,27,34.40000153,37.09999847,33.20000076,6930601.57568359,21120.898279722
270,Inner Harbor,394,258,42,1,51,0,1,41,17,205,189,305,289,16,116,173,16,0,0,289,62,46,16,2,14,227,182,45,27,24,3,262,38,224,6,8,2,2,6,24,94,47,20,33,10,9,19,9,26,14,29,11,12,41,38.5,43.59999847,4046176.51306152,20758.1806675546
271,Reisterstown Station,1169,101,915,11,19,0,62,61,110,556,613,637,573,64,144,429,57,0,7,573,296,136,160,37,123,277,227,50,130,126,4,443,170,273,60,47,60,33,37,40,77,83,62,60,60,91,67,99,92,59,54,17,25,45.40000153,45.40000153,43.90000153,11496174.0922241,17278.5929544483
272,Baltimore Peninsula,28,13,8,0,1,0,1,5,6,19,9,8,7,1,2,5,0,0,1,7,5,5,0,0,0,2,1,1,3,3,0,4,2,2,4,0,4,3,1,1,2,2,1,2,2,2,2,2,0,0,0,0,0,26.39999962,29.70000076,20.10000038,11966812.440918,23558.1258513152
273,Riverside,6592,5556,218,5,266,1,82,464,340,3331,3261,3797,3277,520,1850,1427,343,80,97,3277,1381,1070,311,121,190,1896,1090,806,506,495,11,2771,886,1885,313,196,149,24,90,518,1523,1117,685,370,282,303,172,200,186,161,91,42,36,32.79999924,33.29999924,33.20000076,8859451.94049072,16598.8945286415
274,Spring Garden Industrial Area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3767654.86383057,9427.60557237264
275,Locust Point,3683,3105,137,8,164,2,44,223,175,1852,1831,2074,1883,191,1114,769,72,42,77,1883,809,678,131,40,91,1074,724,350,329,324,5,1554,485,1069,263,117,78,5,49,140,653,710,444,236,179,172,70,160,124,96,44,24,26,34.29999924,35.5,34.5,5773543.40570068,13727.921353071
276,Locust Point Industrial Area,96,63,8,1,7,0,0,17,9,40,56,34,21,13,19,2,3,3,7,21,3,3,0,0,0,18,8,10,1,1,0,20,2,18,4,0,0,1,1,6,27,5,25,6,1,5,0,5,1,1,2,0,0,35.09999847,32.09999847,33.79999924,20139857.6873169,60619.365890369
277,Jones Falls Area,179,136,17,0,5,0,0,21,3,94,85,114,108,6,21,87,3,3,0,108,44,28,16,6,10,64,40,24,11,11,0,97,33,64,6,1,4,0,7,11,30,61,18,2,1,8,11,2,7,0,2,0,3,32.20000076,33.5,30,7768582.0793457,23740.4298073943
278,Gwynns Falls/Leakin Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,20764642.0073242,35581.6793816179
279,Middle Branch/Reedbird Parks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10162084.5043945,30222.9706126341
