OBJECTID,Name,Population,White,Blk_AfAm,AmInd_AkNa,Asian,NatHaw_Pac,Other_Race,TwoOrMore,Hisp_Lat,Male,Female,Total_Units,Occ_Occupied,Occ_Vacant,Tenure_Owner,Tenure_Renter,Vacant_ForRent,Vacant_ForSale,Vacant_Other_All,HH_Total,HH_Family,HH_Married,HH_OtherFamily,HH_Male_NoSpouse,HH_Female_NoSpouse,HH_NonFamily,HH_NonFamilyAlone,HH_NonFamilyNotAlone,HH18_With18,HH18_FamilyWith18,HH18_NonFamilyWith18,HH18_No18,HH18_FamilyNo18,HH18_NonFamilyNo18,Age_U5,Age_5_9,Age_10_14,Age_15_17,Age_18_21,Age_22_24,Age_25_29,Age_30_34,Age_35_39,Age_40_44,Age_45_49,Age_50_54,Age_55_59,Age_60_64,Age_65_69,Age_70_74,Age_75_79,Age_80_84,Age_85up,Med_Age,Med_Age_Male,Med_Age_Female,Shape__Area,Shape__Length
47,York-Homeland,1088,376,304,0,304,0,39,65,106,506,582,253,204,49,2,202,11,1,37,204,36,15,21,3,18,168,153,15,15,14,1,189,22,167,12,10,8,2,649,163,22,10,16,5,10,25,22,56,28,3,10,7,8,21,21,21,651534.637268066,3284.05810979136
48,CARE,1422,193,898,13,73,0,135,110,176,647,775,789,661,128,173,488,84,5,39,661,309,98,211,63,148,352,259,93,163,160,3,498,149,349,85,96,95,12,72,54,175,142,111,96,53,68,25,85,52,52,32,12,20,35.09999847,34.09999847,37.79999924,2361621.41821289,6495.60338302028
49,Concerned Citizens of Forest Park,1141,32,1055,4,14,0,9,27,13,553,588,574,486,88,198,288,14,20,54,486,226,53,173,41,132,260,224,36,118,115,3,368,111,257,84,57,70,24,70,43,90,49,87,60,51,67,48,72,93,48,19,20,34,41.09999847,42.70000076,40.90000153,2227446.81866455,6062.8123392731
50,Carroll - Camden Industrial Area,27,8,8,0,5,0,0,6,2,15,12,7,1,6,1,0,0,0,6,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,5,1,0,0,1,1,0,5,4,0,1,0,0,6,1,0,0,0,0,34.5,34.20000076,27.29999924,16968110.7849731,24594.2518255611
51,Harbor Point,354,255,12,0,49,0,9,29,45,177,177,291,276,15,33,243,12,3,0,276,46,33,13,5,8,230,179,51,7,7,0,269,39,230,0,2,0,0,4,34,120,103,35,13,7,13,3,13,1,5,0,0,0,30.79999924,31.5,30.5,1097655.01171875,4148.230150591
52,Key Highway,1149,910,72,0,85,0,26,56,53,605,544,769,664,105,376,288,52,10,43,664,320,282,38,23,15,344,273,71,68,68,0,596,252,344,40,16,7,2,4,39,121,166,82,78,38,65,24,99,118,86,55,19,13,47.20000076,45.5,47.59999847,1061655.98132324,12051.2287296281
53,Harbor East,1037,693,59,4,190,0,19,72,52,420,617,1012,629,383,65,564,268,16,99,629,202,156,46,18,28,427,319,108,47,45,2,582,157,425,30,20,18,1,28,123,173,185,98,56,69,40,14,39,29,45,29,1,8,34.70000076,35.79999924,34.40000153,1619510.83190918,5599.68628957437
54,Fallstaff,4896,1300,2322,21,51,0,919,283,1143,2336,2560,2070,1899,171,716,1183,99,13,59,1899,1081,563,518,130,388,818,683,135,576,567,9,1323,514,809,374,360,329,95,236,197,366,363,320,291,226,254,125,308,247,212,139,99,88,37,34.09999847,39.40000153,9375402.75695801,15190.3327289987
55,South Baltimore,3939,3269,220,6,141,1,51,251,199,2052,1887,2171,1955,216,851,1104,116,32,68,1955,615,434,181,70,111,1340,698,642,214,211,3,1741,404,1337,123,71,52,28,59,570,1258,681,305,172,131,115,50,112,57,47,33,19,18,29.79999924,30.29999924,30.39999962,4125379.23474121,8630.13027721164
56,Abell,975,632,169,0,73,0,11,90,52,473,502,503,453,50,252,201,19,0,31,453,185,124,61,24,37,268,156,112,75,75,0,378,110,268,47,31,17,5,67,88,137,151,97,60,37,47,17,52,23,29,22,8,7,33.40000153,33.59999847,32.90000153,2033969.45550537,5897.61061769911
57,Allendale,3354,43,3209,10,5,1,30,56,39,1489,1865,1719,1417,302,683,734,134,12,156,1417,780,211,569,80,489,637,546,91,368,361,7,1049,419,630,158,218,213,56,133,120,188,199,230,188,140,215,126,270,203,169,98,62,141,43.70000076,39.70000076,46.29999924,11954204.6424561,14315.9154847172
58,Arcadia,1077,534,436,5,13,0,19,70,65,501,576,477,441,36,365,76,8,19,9,441,306,203,103,21,82,135,106,29,135,135,0,306,171,135,75,71,61,22,59,27,40,71,73,80,86,75,30,97,72,35,18,8,17,41.90000153,36.59999847,45.40000153,6301561.92755127,12292.0128815069
59,Arlington,2163,52,1991,6,26,2,13,73,42,1034,1129,1281,1050,231,390,660,78,22,131,1050,455,149,306,55,251,595,535,60,218,216,2,832,239,593,77,83,127,44,112,61,87,114,112,109,110,176,104,196,160,149,99,67,53,49.29999924,44.09999847,52.70000076,5034912.34210205,9756.98746120634
60,Armistead Gardens,3779,1763,158,32,41,2,1282,501,1911,1822,1957,1533,1402,131,904,498,72,15,44,1402,924,469,455,119,336,478,355,123,544,538,6,858,386,472,243,307,350,93,165,146,251,294,321,222,185,204,115,213,176,120,63,56,39,34.29999924,33.29999924,34.90000153,13457813.9863281,17030.4125353367
61,Ashburton,2243,54,2043,3,13,3,30,97,60,1013,1230,1103,1013,90,740,273,14,29,47,1013,575,284,291,50,241,438,402,36,224,224,0,789,351,438,85,121,106,41,101,67,131,98,121,127,110,178,90,184,159,125,96,71,93,46.70000076,43.29999924,48.90000153,9863866.74151611,16057.5710089276
62,Baltimore Highlands,3143,522,428,55,88,0,1667,383,2147,1660,1483,1112,964,148,278,686,87,14,47,964,620,306,314,82,232,344,242,102,422,416,6,542,204,338,294,245,254,80,185,118,283,277,322,278,169,120,64,113,72,84,38,27,11,31.20000076,29.5,32.20000076,4223188.48248291,8314.73052717193
63,Patterson Park Neighborhood,5438,2578,1164,64,176,1,940,515,1484,2536,2902,2638,2291,347,1287,1004,117,98,132,2291,1149,703,446,131,315,1142,727,415,601,585,16,1690,564,1126,362,272,284,83,175,237,803,851,689,406,256,197,106,214,140,85,52,40,20,32.29999924,32.40000153,33.09999847,4711789.62042236,10494.779834593
64,Barclay,2692,578,1843,5,38,1,53,174,183,1213,1479,1495,1258,237,306,952,114,15,108,1258,519,197,322,50,272,739,568,171,268,263,5,990,256,734,140,126,144,42,145,125,308,371,234,154,116,152,105,167,110,49,30,26,14,35.09999847,35.40000153,37,3919792.30218506,8123.1275406767
65,Barre Circle,300,142,71,7,39,0,22,19,35,167,133,166,139,27,75,64,12,9,6,139,67,30,37,13,24,72,49,23,25,24,1,114,43,71,8,10,12,1,10,22,59,34,32,11,14,20,14,20,6,10,5,2,0,34.29999924,36.09999847,28.5,667985.641662598,3974.38077243458
66,Bellona-Gittings,653,520,67,0,18,0,14,34,20,334,319,263,262,1,218,44,1,0,0,262,169,143,26,6,20,93,82,11,95,94,1,167,75,92,49,58,36,6,20,14,12,27,23,51,34,52,26,65,36,47,28,22,9,44.59999847,43.20000076,41.79999924,4536641.25134277,8683.48661320408
67,Berea,3469,95,3106,14,8,2,108,136,149,1556,1913,1731,1393,338,672,721,96,15,227,1393,834,245,589,92,497,559,440,119,404,399,5,989,435,554,180,234,224,47,154,111,220,237,188,195,152,236,135,257,238,163,91,101,107,42.59999847,38.90000153,44.70000076,9474120.26599121,12605.8417007736
68,Better Waverly,2622,415,1883,11,54,1,137,121,196,1166,1456,1306,1123,183,394,729,39,19,125,1123,606,187,419,83,336,517,386,131,345,341,4,778,265,513,157,177,198,41,121,71,247,224,193,179,155,159,84,169,125,79,37,33,22,35.20000076,34.70000076,37.5,7755250.9508667,12193.698320693
69,Beverly Hills,637,306,278,3,6,0,4,40,15,307,330,293,260,33,208,52,0,5,28,260,149,110,39,14,25,111,84,27,68,65,3,192,84,108,25,27,33,14,20,9,28,47,49,56,40,41,35,37,51,42,14,18,10,46.90000153,44.79999924,47.90000153,2906578.25860596,7224.86944767504
70,Biddle Street,935,16,850,7,2,0,25,35,47,465,470,438,321,117,141,180,36,8,73,321,156,42,114,23,91,165,139,26,77,77,0,244,79,165,70,72,60,21,33,19,50,77,48,45,41,60,34,84,53,20,35,24,24,39,38.40000153,41.5,3075281.98657227,8831.35915269151
71,Blythewood,38,37,0,0,0,0,0,1,0,18,20,12,12,0,12,0,0,0,0,12,12,10,2,0,2,0,0,0,9,9,0,3,3,0,2,4,6,0,1,2,0,0,0,3,5,2,0,4,2,0,1,2,0,42,53.5,32,2110658.90893555,5921.84034800388
72,Bolton Hill,5034,2427,1515,14,597,1,110,370,311,2218,2816,2996,2516,480,697,1819,173,22,285,2516,711,513,198,48,150,1805,1502,303,273,267,6,2243,444,1799,143,86,102,41,1009,330,419,411,313,199,189,234,144,266,329,276,169,119,100,40.59999847,41.59999847,39.09999847,6348130.57775879,11004.4657315658
73,Boyd-Booth,516,22,462,0,0,1,15,16,23,255,261,253,166,87,15,151,43,3,41,166,98,22,76,18,58,68,57,11,66,66,0,100,32,68,54,34,25,13,29,17,48,21,22,38,27,43,23,30,23,18,12,0,5,36.29999924,36.09999847,34.70000076,1076713.94647217,4764.90628928057
74,Bridgeview/Greenlawn,1679,17,1604,5,0,0,8,45,37,762,917,913,716,197,316,400,96,15,86,716,387,106,281,38,243,329,278,51,206,206,0,510,181,329,79,100,84,32,91,87,144,105,108,94,68,98,51,124,144,85,37,17,33,39.70000076,36.09999847,42.09999847,7543361.53930664,12860.4673018279
75,Broadway East,3376,60,3110,6,17,0,82,101,131,1562,1814,1962,1438,524,530,908,166,42,316,1438,797,224,573,132,441,641,520,121,421,414,7,1017,383,634,233,226,221,42,158,121,257,226,248,148,171,221,125,240,212,141,99,70,69,39,36.5,41,9647084.9854126,12478.5511766087
76,Broening Manor,1971,607,316,47,26,0,664,311,1028,1010,961,701,646,55,252,394,31,0,24,646,399,199,200,73,127,247,184,63,235,231,4,411,168,243,142,166,136,43,111,78,179,181,160,123,90,103,58,96,90,64,23,19,27,31.89999962,31.5,33.59999847,4491921.61169434,11103.3179092839
77,Brooklyn,9549,2723,3688,90,163,1,1927,957,2636,4575,4974,4017,3336,681,1081,2255,321,49,311,3336,2141,817,1324,345,979,1195,853,342,1364,1352,12,1972,789,1183,873,826,872,184,490,407,711,823,682,607,513,545,272,515,285,224,113,62,34,31.60000038,30.39999962,32,23781159.8856201,24126.8287203059
78,Parkway,638,11,591,0,4,3,4,25,17,278,360,304,267,37,153,114,17,5,15,267,139,41,98,22,76,128,112,16,60,60,0,207,79,128,43,31,46,6,37,17,40,49,36,30,24,41,23,37,41,40,18,12,21,41.40000153,35.70000076,43,2412490.49987793,7899.05766729634
79,Butchers Hill,2122,1271,337,26,103,0,151,234,333,998,1124,1029,916,113,404,512,22,20,71,916,385,250,135,53,82,531,312,219,166,161,5,750,224,526,146,115,87,26,35,154,404,350,220,130,92,81,21,76,42,39,27,15,8,31.29999924,32.29999924,31.5,2166839.23168945,5966.85900211008
